hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""Southwest Memorial Hospital""","""Critical Access Hospital""","""1311 N Mildred Rd""","""Cortez""","""CO""","""81321""","""Montezuma""","""Colorado""","""08""","""083""","""08083""",25,25,4,4,0,0.35769862,2,0
"""Montrose Memorial Hospital""","""Short Term Acute Care Hospital""","""800 S 3rd St""","""Montrose""","""CO""","""81401""","""Montrose""","""Colorado""","""08""","""085""","""08085""",75,47,8,8,0,0.35715535,2,28
"""Colorado Plains Medical Center""","""Short Term Acute Care Hospital""","""1000 Lincoln St""","""Fort Morgan""","""CO""","""80701""","""Morgan""","""Colorado""","""08""","""087""","""08087""",50,36,6,6,0,0.16849315,2,14
"""East Morgan County Hospital""","""Critical Access Hospital""","""2400 Edison St""","""Brush""","""CO""","""80723""","""Morgan""","""Colorado""","""08""","""087""","""08087""",25,25,4,4,0,0.1620822,1,0
"""Arkansas Valley Regional Medical Center""","""Critical Access Hospital""","""1100 Carson Ave""","""La Junta""","""CO""","""81050""","""Otero""","""Colorado""","""08""","""089""","""08089""",25,25,5,5,0,0.3898907,2,0
"""Melissa Memorial Hospital (AKA East Phillips County Hospital District)""","""Critical Access Hospital""","""1001 E Johnson St""","""Holyoke""","""CO""","""80734""","""Phillips""","""Colorado""","""08""","""095""","""08095""",15,15,3,3,0,0.1848816,0,0
"""Aspen Valley Hospital""","""Critical Access Hospital""","""401 Castle Creek Rd""","""Aspen""","""CO""","""81611""","""Pitkin""","""Colorado""","""08""","""097""","""08097""",25,25,4,4,0,0.21939726,2,0
"""Prowers Medical Center""","""Critical Access Hospital""","""401 Kendall Dr""","""Lamar""","""CO""","""81052""","""Prowers""","""Colorado""","""08""","""099""","""08099""",25,25,4,4,0,0.2820822,1,0
"""St Mary-Corwin Medical Center""","""Short Term Acute Care Hospital""","""1008 Minnequa Ave""","""Pueblo""","""CO""","""81004""","""Pueblo""","""Colorado""","""08""","""101""","""08101""",408,42,6,6,0,0.49414518,3,366
"""Parkview Medical Center""","""Short Term Acute Care Hospital""","""400 W 16th St""","""Pueblo""","""CO""","""81003""","""Pueblo""","""Colorado""","""08""","""101""","""08101""",350,268,11,11,0,0.71025437,9,82
"""Pioneers Medical Center""","""Critical Access Hospital""","""100 Pioneers Medical Center Dr""","""Meeker""","""CO""","""81641""","""Rio Blanco""","""Colorado""","""08""","""103""","""08103""",10,10,2,2,0,0.41643837,1,0
"""Rangely District Hospital""","""Critical Access Hospital""","""225 Eagle Crest St""","""Rangely""","""CO""","""81648""","""Rio Blanco""","""Colorado""","""08""","""103""","""08103""",25,25,4,4,0,0.54619175,1,0
"""Rio Grande Hospital""","""Critical Access Hospital""","""310 County Road 14""","""Del Norte""","""CO""","""81132""","""Rio Grande""","""Colorado""","""08""","""105""","""08105""",17,17,3,3,0,0.39371476,2,0
"""UCHealth Yampa Valley Medical Center""","""Short Term Acute Care Hospital""","""1024 Central Park Dr""","""Steamboat Springs""","""CO""","""80487""","""Routt""","""Colorado""","""08""","""107""","""08107""",39,39,4,4,0,0.21276447,2,0
"""St Anthony Summit Medical Center""","""Short Term Acute Care Hospital""","""340 Peak One Dr""","""Frisco""","""CO""","""80443""","""Summit""","""Colorado""","""08""","""117""","""08117""",35,34,8,8,0,0.24284796,2,1
"""UCHealth Pikes Peak Regional Hospital""","""Critical Access Hospital""","""16420 W Us Highway 24""","""Woodland Park""","""CO""","""80863""","""Teller""","""Colorado""","""08""","""119""","""08119""",15,13,3,3,0,0.31694645,1,2
"""North Colorado Medical Center""","""Short Term Acute Care Hospital""","""1801 16th St""","""Greeley""","""CO""","""80631""","""Weld""","""Colorado""","""08""","""123""","""08123""",378,222,26,26,0,0.51590949,4,156
"""Wray Community District Hospital""","""Critical Access Hospital""","""1017 W 7th St""","""Wray""","""CO""","""80758""","""Yuma""","""Colorado""","""08""","""125""","""08125""",15,15,3,3,0,0.23476027,1,0
"""Yuma District Hospital""","""Critical Access Hospital""","""1000 W 8th Ave""","""Yuma""","""CO""","""80759""","""Yuma""","""Colorado""","""08""","""125""","""08125""",15,15,3,3,0,0.13625571,0,0
"""Stamford Hospital (AKA Stamford Health)""","""Short Term Acute Care Hospital""","""1 Hospital Plz""","""Stamford""","""CT""","""6902""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",288,288,36,36,0,0.58706242,9,0
"""St Vincents Medical Center""","""Short Term Acute Care Hospital""","""2800 Main St""","""Bridgeport""","""CT""","""6606""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",191,191,14,14,0,0.66559565,6,0
"""Bridgeport Hospital""","""Short Term Acute Care Hospital""","""267 Grant St""","""Bridgeport""","""CT""","""6610""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",348,348,32,32,0,0.70557392,8,0
"""Greenwich Hospital""","""Short Term Acute Care Hospital""","""5 Perryridge Rd""","""Greenwich""","""CT""","""6830""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",181,181,10,10,10,0.61339587,4,0
"""Danbury Hospital""","""Short Term Acute Care Hospital""","""24 Hospital Ave""","""Danbury""","""CT""","""6810""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",350,350,41,41,0,0.61780822,11,0
"""Norwalk Hospital""","""Short Term Acute Care Hospital""","""34 Maple St""","""Norwalk""","""CT""","""6850""","""Fairfield""","""Connecticut""","""09""","""001""","""09001""",235,235,40,40,16,0.50098515,6,0
"""The Hospital of Central Connecticut - Bradley Memorial Campus""","""Short Term Acute Care Hospital""","""81 Meriden Ave""","""Southington""","""CT""","""6489""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",84,84,24,24,0,0.61064333,5,0
"""UConn John Dempsey Hospital (AKA UConn Health Center)""","""Short Term Acute Care Hospital""","""263 Farmington Ave""","""Farmington""","""CT""","""6030""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",138,138,20,20,0,0.58919376,3,0
"""Hartford Hospital""","""Short Term Acute Care Hospital""","""80 Seymour St""","""Hartford""","""CT""","""6102""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",867,702,84,84,0,0.81345665,14,165
"""Manchester Memorial Hospital""","""Short Term Acute Care Hospital""","""71 Haynes St""","""Manchester""","""CT""","""6040""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",140,140,32,32,0,0.47825831,2,0
"""Bristol Hospital""","""Short Term Acute Care Hospital""","""41 Brewster Rd""","""Bristol""","""CT""","""6010""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",106,106,14,14,0,0.57761693,5,0
"""Hebrew Senior Care""","""Short Term Acute Care Hospital""","""1 Abrahms Blvd""","""West Hartford""","""CT""","""6117""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",23,23,4,4,0,0.007027993,0,0
"""Connecticut Childrens Medical Center""","""Childrens Hospital""","""282 Washington St""","""Hartford""","""CT""","""6106""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",187,187,90,90,90,0.65727055,2,0
"""Saint Francis Hospital and Medical Center""","""Short Term Acute Care Hospital""","""114 Woodland St""","""Hartford""","""CT""","""6105""","""Hartford""","""Connecticut""","""09""","""003""","""09003""",474,474,42,42,28,0.63813341,26,0
"""Sharon Hospital""","""Short Term Acute Care Hospital""","""50 Hospital Hill Rd""","""Sharon""","""CT""","""6069""","""Litchfield""","""Connecticut""","""09""","""005""","""09005""",66,66,11,11,0,0.18750519,2,0
"""Charlotte Hungerford Hospital""","""Short Term Acute Care Hospital""","""540 Litchfield St""","""Torrington""","""CT""","""6790""","""Litchfield""","""Connecticut""","""09""","""005""","""09005""",91,91,10,10,0,0.60740632,5,0
"""Middlesex Hospital (AKA Middlesex Health System)""","""Short Term Acute Care Hospital""","""28 Crescent St""","""Middletown""","""CT""","""6457""","""Middlesex""","""Connecticut""","""09""","""007""","""09007""",187,187,24,24,0,0.62420338,7,0
"""Bridgeport Hospital Milford Campus (FKA Milford Hospital)""","""Short Term Acute Care Hospital""","""300 Seaside Ave""","""Milford""","""CT""","""6460""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",106,106,10,10,0,0.2552056,2,0
"""Saint Marys Hospital""","""Short Term Acute Care Hospital""","""56 Franklin St""","""Waterbury""","""CT""","""6706""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",151,151,16,16,0,0.65513927,6,0
"""MidState Medical Center""","""Short Term Acute Care Hospital""","""435 Lewis Ave""","""Meriden""","""CT""","""6451""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",144,144,25,25,0,0.70828903,4,0
"""Yale New Haven Hospital""","""Short Term Acute Care Hospital""","""20 York St""","""New Haven""","""CT""","""6510""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",581,581,88,88,107,0.81244361,28,0
"""The Connecticut Hospice""","""Short Term Acute Care Hospital""","""100 Double Beach Rd""","""Branford""","""CT""","""6405""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",10,10,1,1,0,0.4969863,0,0
"""Masonicare Health Center""","""Short Term Acute Care Hospital""","""22 Masonic Ave""","""Wallingford""","""CT""","""6492""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",30,30,5,5,0,0.19123287,0,0
"""Griffin Hospital""","""Short Term Acute Care Hospital""","""130 Division St""","""Derby""","""CT""","""6418""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",101,101,14,14,0,0.65834802,3,0
"""Waterbury Hospital (AKA Waterbury HEALTH)""","""Short Term Acute Care Hospital""","""64 Robbins St""","""Waterbury""","""CT""","""6708""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",213,213,20,20,0,0.52492124,4,0
"""Lawrence & Memorial Hospital""","""Short Term Acute Care Hospital""","""365 Montauk Ave""","""New London""","""CT""","""6320""","""New London""","""Connecticut""","""09""","""011""","""09011""",236,236,10,10,13,0.65215927,7,0
"""The William W Backus Hospital (AKA Backus Hospital)""","""Short Term Acute Care Hospital""","""326 Washington St""","""Norwich""","""CT""","""6360""","""New London""","""Connecticut""","""09""","""011""","""09011""",165,165,12,12,0,0.70490658,5,0
"""Rockville General Hospital""","""Short Term Acute Care Hospital""","""31 Union St""","""Vernon""","""CT""","""6066""","""Tolland""","""Connecticut""","""09""","""013""","""09013""",102,102,9,9,0,0.35683587,2,0
"""Johnson Memorial Hospital""","""Short Term Acute Care Hospital""","""201 Chestnut Hill Rd""","""Stafford Springs""","""CT""","""6076""","""Tolland""","""Connecticut""","""09""","""013""","""09013""",50,50,7,7,0,0.37172604,2,0
"""Day Kimball Hospital""","""Short Term Acute Care Hospital""","""320 Pomfret St""","""Putnam""","""CT""","""6260""","""Windham""","""Connecticut""","""09""","""015""","""09015""",104,104,6,6,0,0.36246049,3,0
"""Windham Hospital (FKA Windham Community Memorial Hospital)""","""Short Term Acute Care Hospital""","""112 Mansfield Ave""","""Willimantic""","""CT""","""6226""","""Windham""","""Connecticut""","""09""","""015""","""09015""",40,40,8,8,0,0.67431509,2,0
"""Bayhealth Hospital - Kent Campus""","""Short Term Acute Care Hospital""","""640 S State St""","""Dover""","""DE""","""19901""","""Kent""","""Delaware""","""10""","""001""","""10001""",266,281,29,29,15,0.68772,12,-15
"""Christiana Hospital""","""Short Term Acute Care Hospital""","""4755 Ogletown Stanton Rd""","""Newark""","""DE""","""19718""","""New Castle""","""Delaware""","""10""","""003""","""10003""",906,906,73,73,0,0.68970597,58,0
"""Saint Francis Healthcare""","""Short Term Acute Care Hospital""","""701 N Clayton St""","""Wilmington""","""DE""","""19805""","""New Castle""","""Delaware""","""10""","""003""","""10003""",395,180,20,20,6,0.32628614,4,215
"""TidalHealth Nanticoke (FKA Nanticoke Memorial Hospital)""","""Short Term Acute Care Hospital""","""801 Middleford Rd""","""Seaford""","""DE""","""19973""","""Sussex""","""Delaware""","""10""","""005""","""10005""",139,94,9,9,0,0.49930242,4,45
"""Beebe Healthcare - Margaret H Rollins Lewes Campus (FKA Beebe Medical Center)""","""Short Term Acute Care Hospital""","""424 Savannah Rd""","""Lewes""","""DE""","""19958""","""Sussex""","""Delaware""","""10""","""005""","""10005""",210,195,34,34,0,0.63560224,6,15
"""George Washington University Hospital""","""Short Term Acute Care Hospital""","""900 23rd St Nw""","""Washington""","""DC""","""20037""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",395,333,56,56,0,0.94602722,18,62
"""Howard University Hospital""","""Short Term Acute Care Hospital""","""2041 Georgia Ave NW""","""Washington""","""DC""","""20060""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",482,227,36,36,0,0.56905228,4,255
"""MedStar Georgetown University Hospital""","""Short Term Acute Care Hospital""","""3800 Reservoir Rd NW""","""Washington""","""DC""","""20007""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",609,393,57,57,47,0.84440726,14,216
"""Sibley Memorial Hospital""","""Short Term Acute Care Hospital""","""5255 Loughboro Rd Nw""","""Washington""","""DC""","""20016""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",342,198,14,14,0,0.56756717,5,144
"""United Medical Center (AKA Not for Profit Hospital Corporation - Closing 2023)""","""Short Term Acute Care Hospital""","""1310 Southern Ave SE""","""Washington""","""DC""","""20032""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",210,157,16,16,0,0.51227641,5,53
"""MedStar Washington Hospital Center""","""Short Term Acute Care Hospital""","""110 Irving St NW""","""Washington""","""DC""","""20010""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",912,701,92,92,0,0.82585347,38,211
"""Childrens National Medical Center (AKA Childrens National Health System)""","""Childrens Hospital""","""111 Michigan Ave Nw""","""Washington""","""DC""","""20010""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",323,323,73,73,66,0.79700214,7,0
"""UF Health Shands Hospital (FKA Shands at the University of Florida)""","""Short Term Acute Care Hospital""","""1600 Sw Archer Rd""","""Gainesville""","""FL""","""32608""","""Alachua""","""Florida""","""12""","""001""","""12001""",1014,742,170,170,118,0.77995932,29,272
"""North Florida Regional Medical Center""","""Short Term Acute Care Hospital""","""6500 W Newberry Rd""","""Gainesville""","""FL""","""32605""","""Alachua""","""Florida""","""12""","""001""","""12001""",432,381,41,41,12,0.83970857,17,51
"""Gulf Coast Regional Medical Center""","""Short Term Acute Care Hospital""","""449 W 23rd St""","""Panama City""","""FL""","""32405""","""Bay""","""Florida""","""12""","""005""","""12005""",223,223,20,20,32,0.80024439,8,0
"""Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart)""","""Short Term Acute Care Hospital""","""615 N Bonita Ave""","""Panama City""","""FL""","""32401""","""Bay""","""Florida""","""12""","""005""","""12005""",323,123,57,57,0,0.90614754,12,200
"""Melbourne Regional Medical Center (FKA Wuesthoff Medical Center - Melbourne)""","""Short Term Acute Care Hospital""","""250 N Wickham Rd""","""Melbourne""","""FL""","""32935""","""Brevard""","""Florida""","""12""","""009""","""12009""",119,96,12,12,0,0.31606734,3,23
"""Parrish Medical Center (AKA Parrish Healthcare)""","""Short Term Acute Care Hospital""","""951 N Washington Ave""","""Titusville""","""FL""","""32796""","""Brevard""","""Florida""","""12""","""009""","""12009""",210,210,8,8,0,0.33799088,6,0
"""Holmes Regional Medical Center""","""Short Term Acute Care Hospital""","""1350 Hickory St""","""Melbourne""","""FL""","""32901""","""Brevard""","""Florida""","""12""","""009""","""12009""",550,514,64,64,0,0.74249774,21,36
"""Rockledge Regional Medical Center (FKA Wuesthoff Medical Center - Rockledge)""","""Short Term Acute Care Hospital""","""110 Longwood Ave""","""Rockledge""","""FL""","""32955""","""Brevard""","""Florida""","""12""","""009""","""12009""",298,274,31,31,0,0.38939106,6,24
"""Cape Canaveral Hospital""","""Short Term Acute Care Hospital""","""701 W Cocoa Beach Cswy""","""Cocoa Beach""","""FL""","""32931""","""Brevard""","""Florida""","""12""","""009""","""12009""",150,150,12,12,0,0.4912146,5,0
"""Plantation General Hospital""","""Short Term Acute Care Hospital""","""401 NW 42nd Ave""","""Plantation""","""FL""","""33317""","""Broward""","""Florida""","""12""","""011""","""12011""",264,264,61,61,51,0.46946532,8,0
"""Westside Regional Medical Center""","""Short Term Acute Care Hospital""","""8201 W Broward Blvd""","""Plantation""","""FL""","""33324""","""Broward""","""Florida""","""12""","""011""","""12011""",250,250,32,32,0,0.70438677,10,0
"""Memorial Hospital Pembroke""","""Short Term Acute Care Hospital""","""7800 Sheridan St""","""Pembroke Pines""","""FL""","""33024""","""Broward""","""Florida""","""12""","""011""","""12011""",301,301,24,24,0,0.27831635,2,0
"""Northwest Medical Center""","""Short Term Acute Care Hospital""","""2801 N State Road 7""","""Margate""","""FL""","""33063""","""Broward""","""Florida""","""12""","""011""","""12011""",283,283,24,24,11,0.61684191,6,0
"""Broward Health Imperial Point (FKA Imperial Point Medical Center)""","""Short Term Acute Care Hospital""","""6401 N Federal Hwy""","""Fort Lauderdale""","""FL""","""33308""","""Broward""","""Florida""","""12""","""011""","""12011""",204,157,10,10,0,0.51253867,3,47
"""University Hospital & Medical Center""","""Short Term Acute Care Hospital""","""7201 N University Dr""","""Tamarac""","""FL""","""33321""","""Broward""","""Florida""","""12""","""011""","""12011""",317,245,15,15,0,0.31515557,4,72
"""Broward Health North (FKA North Broward Medical Center)""","""Short Term Acute Care Hospital""","""201 E Sample Rd""","""Deerfield Beach""","""FL""","""33064""","""Broward""","""Florida""","""12""","""011""","""12011""",409,304,29,29,0,0.58173352,7,105
"""Holy Cross Hospital""","""Short Term Acute Care Hospital""","""4725 N Federal Hwy""","""Fort Lauderdale""","""FL""","""33308""","""Broward""","""Florida""","""12""","""011""","""12011""",557,319,44,44,9,0.57770944,10,238
"""Memorial Regional Hospital""","""Short Term Acute Care Hospital""","""3501 Johnson St""","""Hollywood""","""FL""","""33021""","""Broward""","""Florida""","""12""","""011""","""12011""",797,553,92,92,84,0.58365995,10,244
"""Broward Health Medical Center (FKA Broward General Medical Center)""","""Short Term Acute Care Hospital""","""1600 S Andrews Ave""","""Fort Lauderdale""","""FL""","""33316""","""Broward""","""Florida""","""12""","""011""","""12011""",716,572,57,57,0,0.56310904,10,144
"""Cleveland Clinic Florida""","""Short Term Acute Care Hospital""","""2950 Cleveland Clinic Blvd""","""Weston""","""FL""","""33331""","""Broward""","""Florida""","""12""","""011""","""12011""",206,230,48,48,0,0.76240617,5,-24
"""Memorial Hospital Miramar""","""Short Term Acute Care Hospital""","""1901 Sw 172nd Ave""","""Miramar""","""FL""","""33029""","""Broward""","""Florida""","""12""","""011""","""12011""",178,178,18,18,16,0.44728336,2,0
"""Broward Health Coral Springs (FKA Coral Springs Medical Center)""","""Short Term Acute Care Hospital""","""3000 Coral Hills Dr""","""Coral Springs""","""FL""","""33065""","""Broward""","""Florida""","""12""","""011""","""12011""",250,224,16,16,0,0.50213456,4,26
"""Memorial Hospital West""","""Short Term Acute Care Hospital""","""703 N Flamingo Rd""","""Pembroke Pines""","""FL""","""33028""","""Broward""","""Florida""","""12""","""011""","""12011""",486,486,32,32,20,0.55478537,5,0
"""Bayfront Health - Punta Gorda (FKA Charlotte Regional Medical Center)""","""Short Term Acute Care Hospital""","""809 E Marion Ave""","""Punta Gorda""","""FL""","""33950""","""Charlotte""","""Florida""","""12""","""015""","""12015""",208,136,10,10,0,0.3502216,4,72
"""Bayfront Health - Port Charlotte (FKA Peace River Regional Medical Center)""","""Short Term Acute Care Hospital""","""2500 Harbor Blvd""","""Port Charlotte""","""FL""","""33952""","""Charlotte""","""Florida""","""12""","""015""","""12015""",254,254,22,22,7,0.52049398,6,0
"""Fawcett Memorial Hospital""","""Short Term Acute Care Hospital""","""21298 Olean Blvd""","""Port Charlotte""","""FL""","""33952""","""Charlotte""","""Florida""","""12""","""015""","""12015""",253,233,19,19,0,0.69597852,9,20
"""Bayfront Health - Seven Rivers (FKA Seven Rivers Regional Medical Center)""","""Short Term Acute Care Hospital""","""6201 N Suncoast Blvd""","""Crystal River""","""FL""","""34428""","""Citrus""","""Florida""","""12""","""017""","""12017""",128,128,16,16,0,0.53630137,5,0
"""Citrus Memorial Hospital""","""Short Term Acute Care Hospital""","""502 W Highland Blvd""","""Inverness""","""FL""","""34452""","""Citrus""","""Florida""","""12""","""017""","""12017""",204,204,24,24,0,0.64182109,9,0
"""Orange Park Medical Center""","""Short Term Acute Care Hospital""","""2001 Kingsley Ave""","""Orange Park""","""FL""","""32073""","""Clay""","""Florida""","""12""","""019""","""12019""",317,273,28,28,16,0.83106148,14,44
"""Physicians Regional Medical Center - Pine Ridge""","""Short Term Acute Care Hospital""","""6101 Pine Ridge Rd""","""Naples""","""FL""","""34119""","""Collier""","""Florida""","""12""","""021""","""12021""",105,101,24,24,0,0.70586795,6,4
"""Lake City Medical Center""","""Short Term Acute Care Hospital""","""340 NW Commerce Dr""","""Lake City""","""FL""","""32055""","""Columbia""","""Florida""","""12""","""023""","""12023""",91,91,18,18,0,0.69607103,4,0
"""Desoto Memorial Hospital""","""Short Term Acute Care Hospital""","""900 N Robert Ave""","""Arcadia""","""FL""","""34266""","""DeSoto""","""Florida""","""12""","""027""","""12027""",49,49,8,8,0,0.17360917,2,0
"""Memorial Hospital Jacksonville""","""Short Term Acute Care Hospital""","""3625 University Blvd S""","""Jacksonville""","""FL""","""32216""","""Duval""","""Florida""","""12""","""031""","""12031""",454,396,51,51,10,0.70178497,13,58
"""Mayo Clinic Hospital - Florida""","""Short Term Acute Care Hospital""","""4500 San Pablo Rd""","""Jacksonville""","""FL""","""32224""","""Duval""","""Florida""","""12""","""031""","""12031""",304,304,54,54,0,0.76716286,15,0
"""Baptist Medical Center Beaches""","""Short Term Acute Care Hospital""","""1350 13th Ave S""","""Jacksonville Beach""","""FL""","""32250""","""Duval""","""Florida""","""12""","""031""","""12031""",146,135,24,24,0,0.54841197,5,11
"""UF Health Jacksonville""","""Short Term Acute Care Hospital""","""655 W 8th St""","""Jacksonville""","""FL""","""32209""","""Duval""","""Florida""","""12""","""031""","""12031""",603,534,80,80,56,0.7024771,16,69
"""Ascension St Vincents Riverside Hospital""","""Short Term Acute Care Hospital""","""1 Shircliff Way""","""Jacksonville""","""FL""","""32204""","""Duval""","""Florida""","""12""","""031""","""12031""",528,479,37,37,10,0.52118486,12,49
"""Ascension St Vincents Southside Hospital""","""Short Term Acute Care Hospital""","""4201 Belfort Rd""","""Jacksonville""","""FL""","""32216""","""Duval""","""Florida""","""12""","""031""","""12031""",313,278,17,17,10,0.29638913,4,35
"""Ascension Sacred Heart Hospital Pensacola""","""Short Term Acute Care Hospital""","""5151 N 9th Ave""","""Pensacola""","""FL""","""32504""","""Escambia""","""Florida""","""12""","""033""","""12033""",566,533,34,34,82,0.59273499,17,33
"""Baptist Hospital""","""Short Term Acute Care Hospital""","""1000 W Moreno St""","""Pensacola""","""FL""","""32501""","""Escambia""","""Florida""","""12""","""033""","""12033""",492,266,37,37,0,0.74189925,7,226
"""West Florida Hospital (AKA West Florida Healthcare)""","""Short Term Acute Care Hospital""","""8383 N Davis Hwy""","""Pensacola""","""FL""","""32514""","""Escambia""","""Florida""","""12""","""033""","""12033""",515,350,26,26,0,0.57992196,11,165
"""AdventHealth Palm Coast (FKA Florida Hospital Flagler)""","""Short Term Acute Care Hospital""","""60 Memorial Medical Pkwy""","""Palm Coast""","""FL""","""32164""","""Flagler""","""Florida""","""12""","""035""","""12035""",99,99,18,18,0,0.92685759,3,0
"""Florida State Hospital""","""Short Term Acute Care Hospital""","""100 N Main St""","""Chattahoochee""","""FL""","""32324""","""Gadsden""","""Florida""","""12""","""039""","""12039""",949,24,4,4,0,0.36289954,0,925
"""AdventHealth Wauchula (FKA Florida Hospital Wauchula)""","""Critical Access Hospital""","""735 S 5th Ave""","""Wauchula""","""FL""","""33873""","""Hardee""","""Florida""","""12""","""049""","""12049""",25,25,4,4,0,0.94174862,1,0
"""Hendry Regional Medical Center""","""Critical Access Hospital""","""524 W Sagamore Ave""","""Clewiston""","""FL""","""33440""","""Hendry""","""Florida""","""12""","""051""","""12051""",25,25,3,3,0,0.12515068,2,0
"""Oak Hill Hospital""","""Short Term Acute Care Hospital""","""11375 Cortez Blvd""","""Brooksville""","""FL""","""34613""","""Hernando""","""Florida""","""12""","""053""","""12053""",350,280,24,24,0,0.81274396,10,70
"""Bayfront Health - Brooksville (FKA Brooksville Regional Hospital)""","""Short Term Acute Care Hospital""","""17240 Cortez Blvd""","""Brooksville""","""FL""","""34601""","""Hernando""","""Florida""","""12""","""053""","""12053""",120,120,20,20,10,0.4376151,4,0
"""Highlands Regional Medical Center""","""Short Term Acute Care Hospital""","""3600 S Highlands Ave""","""Sebring""","""FL""","""33870""","""Highlands""","""Florida""","""12""","""055""","""12055""",126,110,16,16,0,0.30849314,4,16
"""AdventHealth Sebring (FKA Florida Hospital Heartland Medical Center)""","""Short Term Acute Care Hospital""","""4200 Sun N Lake Blvd""","""Sebring""","""FL""","""33871""","""Highlands""","""Florida""","""12""","""055""","""12055""",147,180,22,22,0,0.65751904,4,-33
"""Tampa General Hospital (AKA Florida Health Sciences Center)""","""Short Term Acute Care Hospital""","""1 Tampa General Cir""","""Tampa""","""FL""","""33606""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",1006,898,101,101,91,0.81763434,36,108
"""South Florida Baptist Hospital""","""Short Term Acute Care Hospital""","""301 N Alexander St""","""Plant City""","""FL""","""33563""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",147,136,25,25,0,0.47415391,3,11
"""Brandon Regional Hospital""","""Short Term Acute Care Hospital""","""119 Oakfield Dr""","""Brandon""","""FL""","""33511""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",422,393,54,54,22,0.6396668,10,29
"""AdventHealth Tampa (FKA Florida Hospital Tampa)""","""Short Term Acute Care Hospital""","""3100 E Fletcher Ave""","""Tampa""","""FL""","""33613""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",536,506,58,58,28,0.60961068,8,30
"""Memorial Hospital of Tampa (FKA IASIS Memorial Hospital of Tampa)""","""Short Term Acute Care Hospital""","""2901 W Swann Ave""","""Tampa""","""FL""","""33609""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",183,312,12,12,0,0.22713383,3,-129
"""St Josephs Hospital""","""Short Term Acute Care Hospital""","""3001 W Dr Martin Luther King Jr Blvd""","""Tampa""","""FL""","""33607""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",807,527,106,106,64,0.64321905,18,280
"""AdventHealth Carrollwood (FKA Florida Hospital Carrollwood)""","""Short Term Acute Care Hospital""","""7171 N Dale Mabry Hwy""","""Tampa""","""FL""","""33614""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",103,103,8,8,0,0.61056346,2,0
"""Tampa Community Hospital (FKA Town & Country Hospital)""","""Short Term Acute Care Hospital""","""6001 Webb Rd""","""Tampa""","""FL""","""33615""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",201,182,11,11,0,0.22490536,2,19
"""South Bay Hospital""","""Short Term Acute Care Hospital""","""4016 Sun City Center Blvd""","""Sun City Center""","""FL""","""33573""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",138,138,12,12,0,0.48788962,3,0
"""Moffitt Cancer Center (AKA H Lee Moffitt Cancer Center & Research Institute)""","""Short Term Acute Care Hospital""","""12902 USF Magnolia Dr""","""Tampa""","""FL""","""33612""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",218,206,30,30,0,0.78388083,3,12
"""James A Haley Veterans Hospital""","""VA Hospital""","""13000 Bruce B Downs Blvd""","""Tampa""","""FL""","""33612""","""Hillsborough""","""Florida""","""12""","""057""","""12057""",415,415,2,2,null,null,2,0
